<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
GAZP;60;20170208;170000;144.5500000;144.6200000;143.9100000;144.3000000
GAZP;60;20170208;180000;144.2800000;144.6400000;144.0000000;144.0300000
GAZP;60;20170208;190000;144.0700000;145.2400000;144.0000000;145.2000000
GAZP;60;20170209;110000;145.3400000;145.6000000;144.7200000;145.1600000
GAZP;60;20170209;120000;145.1100000;145.3700000;143.5500000;143.6100000
GAZP;60;20170209;130000;143.6100000;143.8300000;142.1100000;142.5000000
GAZP;60;20170209;140000;142.5400000;142.6400000;141.7700000;141.9400000
GAZP;60;20170209;150000;141.9800000;142.6900000;141.5700000;142.5800000
GAZP;60;20170209;160000;142.5900000;143.1000000;142.0500000;142.6200000
GAZP;60;20170209;170000;142.6100000;143.5300000;142.4100000;142.8400000
GAZP;60;20170209;180000;142.8400000;143.4200000;142.3900000;142.4200000
GAZP;60;20170209;190000;142.4100000;142.5300000;141.8800000;142.1100000
GAZP;60;20170210;110000;142.6700000;143.1400000;142.0700000;143.0200000
GAZP;60;20170210;120000;143.0100000;143.0900000;141.7300000;142.0300000
GAZP;60;20170210;130000;142.0700000;142.4900000;141.8100000;142.1000000
GAZP;60;20170210;140000;142.1100000;142.6200000;142.0100000;142.4000000
GAZP;60;20170210;150000;142.4100000;142.5200000;142.2400000;142.3000000
GAZP;60;20170210;160000;142.3100000;142.4900000;141.9800000;142.0500000
GAZP;60;20170210;170000;142.0400000;142.2900000;141.1300000;141.1500000
GAZP;60;20170210;180000;141.1400000;141.8400000;140.9100000;141.1200000
GAZP;60;20170210;190000;141.1000000;141.9900000;140.5000000;140.5000000
GAZP;60;20170213;110000;141.1100000;142.4800000;141.0500000;142.1700000
GAZP;60;20170213;120000;142.1700000;142.6700000;141.0500000;141.5800000
GAZP;60;20170213;130000;141.5800000;141.7000000;140.5100000;140.6800000
GAZP;60;20170213;140000;140.6700000;140.9900000;140.2500000;140.7600000
GAZP;60;20170213;150000;140.7800000;140.9000000;140.3200000;140.7600000
GAZP;60;20170213;160000;140.7500000;141.2500000;140.6400000;140.8500000
GAZP;60;20170213;170000;140.8200000;141.0900000;140.4200000;140.6300000
GAZP;60;20170213;180000;140.6400000;140.6700000;140.0200000;140.6400000
