<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
GAZP;60;20180110;110000;140.4900000;141.2500000;140.1000000;140.4600000
GAZP;60;20180110;120000;140.4500000;141.0600000;139.5800000;140.9000000
GAZP;60;20180110;130000;140.9000000;141.9500000;140.8000000;141.9400000
GAZP;60;20180110;140000;141.9300000;142.2500000;141.3700000;141.8600000
GAZP;60;20180110;150000;141.8600000;142.0000000;141.3900000;141.9400000
GAZP;60;20180110;160000;141.9200000;142.0800000;141.6400000;141.9500000
GAZP;60;20180110;170000;141.9200000;142.5600000;141.8300000;142.4800000
GAZP;60;20180110;180000;142.4800000;143.0700000;142.4000000;142.9100000
GAZP;60;20180110;190000;142.9100000;143.4300000;142.9100000;143.4300000
GAZP;60;20180111;110000;143.2300000;143.7500000;142.3100000;142.5500000
GAZP;60;20180111;120000;142.5900000;144.6000000;142.5100000;144.3000000
GAZP;60;20180111;130000;144.3000000;144.8000000;143.6100000;143.8600000
GAZP;60;20180111;140000;143.8300000;144.1900000;143.5000000;144.0000000
GAZP;60;20180111;150000;144.0000000;144.1500000;143.5600000;144.1200000
GAZP;60;20180111;160000;144.1200000;144.6000000;143.7100000;144.2100000
GAZP;60;20180111;170000;144.2600000;144.7000000;144.0700000;144.4600000
GAZP;60;20180111;180000;144.4600000;144.5000000;143.7600000;144.1200000
GAZP;60;20180111;190000;144.1200000;144.6400000;144.1200000;144.5800000
GAZP;60;20180112;110000;144.2100000;144.2500000;143.1400000;143.8800000
GAZP;60;20180112;120000;143.8800000;144.1700000;143.5600000;143.9700000
GAZP;60;20180112;130000;144.0000000;144.5400000;143.8100000;144.0000000
GAZP;60;20180112;140000;143.9600000;144.2600000;143.5500000;143.8700000
GAZP;60;20180112;150000;143.8100000;143.8800000;141.6400000;142.2500000
GAZP;60;20180112;160000;142.2400000;142.6400000;142.0600000;142.3800000
GAZP;60;20180112;170000;142.3900000;142.9500000;142.3000000;142.9500000
GAZP;60;20180112;180000;142.9200000;143.4000000;142.8300000;143.4000000
GAZP;60;20180112;190000;143.4000000;143.9900000;143.1500000;143.9900000
GAZP;60;20180115;110000;144.3300000;145.5000000;144.3300000;144.9700000
GAZP;60;20180115;120000;145.0100000;145.2300000;144.7600000;144.9500000
GAZP;60;20180115;130000;144.9500000;145.1200000;144.1300000;144.3800000
GAZP;60;20180115;140000;144.3200000;144.3900000;143.7000000;144.1600000
GAZP;60;20180115;150000;144.2100000;144.5500000;144.0500000;144.5300000
GAZP;60;20180115;160000;144.5200000;144.5500000;142.8800000;142.9000000
GAZP;60;20180115;170000;142.9100000;143.9000000;142.9000000;143.2000000
GAZP;60;20180115;180000;143.2000000;143.4300000;142.6500000;142.6500000
GAZP;60;20180115;190000;142.6500000;143.1000000;142.6000000;142.9900000
GAZP;60;20180116;110000;143.1600000;143.2900000;142.7100000;143.1400000
GAZP;60;20180116;120000;143.1800000;143.3800000;142.7000000;142.8200000
GAZP;60;20180116;130000;142.7900000;142.9400000;141.8900000;142.7000000
GAZP;60;20180116;140000;142.7000000;142.7000000;141.9700000;142.1700000
GAZP;60;20180116;150000;142.1500000;142.9900000;141.9700000;142.9700000
GAZP;60;20180116;160000;142.9500000;143.3300000;142.4300000;143.2200000
GAZP;60;20180116;170000;143.2000000;145.2600000;142.9800000;144.6300000
GAZP;60;20180116;180000;144.6100000;144.9200000;144.3000000;144.8800000
GAZP;60;20180116;190000;144.9200000;145.3500000;144.6700000;145.2900000
GAZP;60;20180117;110000;144.5100000;144.5100000;143.3100000;144.4200000
GAZP;60;20180117;120000;144.4100000;144.5000000;143.9400000;144.3800000
GAZP;60;20180117;130000;144.3800000;147.0900000;144.3700000;146.6300000
GAZP;60;20180117;140000;146.6300000;146.8300000;146.2800000;146.4700000
GAZP;60;20180117;150000;146.4900000;147.5000000;146.2700000;147.2200000
GAZP;60;20180117;160000;147.2500000;147.9800000;147.1700000;147.3500000
GAZP;60;20180117;170000;147.3100000;148.7600000;147.1100000;148.5300000
GAZP;60;20180117;180000;148.5300000;149.2000000;148.2600000;148.2900000
GAZP;60;20180117;190000;148.2700000;148.7300000;148.2300000;148.7000000
GAZP;60;20180118;110000;148.7900000;149.7800000;148.1300000;148.5200000
GAZP;60;20180118;120000;148.5100000;149.1900000;148.2700000;149.0000000
GAZP;60;20180118;130000;148.9900000;149.4600000;148.5900000;149.2100000
GAZP;60;20180118;140000;149.2100000;149.2500000;148.9100000;149.1500000
GAZP;60;20180118;150000;149.1000000;149.2900000;148.8000000;148.8800000
GAZP;60;20180118;160000;148.8800000;149.0500000;148.8000000;149.0500000
GAZP;60;20180118;170000;149.0500000;150.1700000;148.9000000;150.0600000
GAZP;60;20180118;180000;150.0600000;150.3000000;149.5500000;150.1800000
GAZP;60;20180118;190000;150.1800000;150.3500000;149.6500000;150.3500000
GAZP;60;20180119;110000;149.9400000;151.0000000;149.5600000;149.7000000
GAZP;60;20180119;120000;149.7500000;149.9700000;148.7000000;149.6600000
GAZP;60;20180119;130000;149.6200000;150.0000000;149.2500000;149.4500000
GAZP;60;20180119;140000;149.4300000;149.5600000;148.6000000;149.3100000
GAZP;60;20180119;150000;149.3100000;149.7700000;149.0000000;149.1200000
GAZP;60;20180119;160000;149.1200000;149.2000000;148.6000000;148.7400000
GAZP;60;20180119;170000;148.7100000;149.1200000;148.4000000;148.7000000
GAZP;60;20180119;180000;148.7500000;150.1700000;148.4100000;149.8900000
GAZP;60;20180119;190000;149.8900000;150.0000000;149.1300000;149.1300000
GAZP;60;20180122;110000;149.0900000;149.7900000;148.8500000;149.7000000
GAZP;60;20180122;120000;149.7300000;150.2200000;149.3700000;149.7800000
GAZP;60;20180122;130000;149.8000000;150.1500000;149.6900000;149.9700000
GAZP;60;20180122;140000;149.9900000;150.2000000;149.8100000;149.9900000
GAZP;60;20180122;150000;149.9900000;150.2000000;149.8100000;149.9100000
GAZP;60;20180122;160000;149.9000000;150.2000000;149.8100000;150.0400000
GAZP;60;20180122;170000;150.0600000;150.0600000;149.2100000;149.7000000
GAZP;60;20180122;180000;149.7200000;149.9900000;149.4200000;149.9300000
GAZP;60;20180122;190000;149.9400000;150.3000000;149.6900000;150.3000000
GAZP;60;20180123;110000;150.8000000;151.6500000;150.4700000;150.5300000
GAZP;60;20180123;120000;150.5300000;150.6500000;149.6100000;149.7000000
GAZP;60;20180123;130000;149.7400000;150.0000000;149.2800000;149.6600000
GAZP;60;20180123;140000;149.6400000;149.6500000;148.5300000;148.5900000
GAZP;60;20180123;150000;148.6400000;148.7000000;147.8300000;148.1300000
GAZP;60;20180123;160000;148.1700000;148.4900000;147.7100000;147.9500000
GAZP;60;20180123;170000;147.9500000;148.8500000;147.9500000;148.1800000
GAZP;60;20180123;180000;148.1600000;148.3700000;147.9600000;148.0400000
GAZP;60;20180123;190000;148.0700000;148.8000000;147.8500000;148.8000000
GAZP;60;20180124;110000;148.5100000;148.7600000;146.6000000;146.9600000
GAZP;60;20180124;120000;146.9400000;148.4500000;146.8100000;148.2600000
GAZP;60;20180124;130000;148.2400000;149.0800000;148.0500000;148.9500000
GAZP;60;20180124;140000;148.9500000;149.0000000;148.3800000;148.5900000
GAZP;60;20180124;150000;148.5800000;148.8500000;148.1100000;148.3600000
GAZP;60;20180124;160000;148.3600000;148.8700000;148.1000000;148.6500000
GAZP;60;20180124;170000;148.6800000;148.9300000;148.3600000;148.8100000
GAZP;60;20180124;180000;148.8100000;149.5500000;148.6000000;149.3100000
GAZP;60;20180124;190000;149.3100000;149.7000000;149.1000000;149.7000000
GAZP;60;20180125;110000;150.0200000;151.3900000;149.5400000;149.9900000
GAZP;60;20180125;120000;149.9900000;150.2000000;149.6300000;149.8500000
GAZP;60;20180125;130000;149.8300000;151.0000000;149.8300000;150.8800000
GAZP;60;20180125;140000;150.8800000;150.9000000;150.2300000;150.5100000
GAZP;60;20180125;150000;150.5300000;150.7800000;150.1400000;150.5400000
GAZP;60;20180125;160000;150.5400000;150.9900000;150.3900000;150.8900000
GAZP;60;20180125;170000;150.9000000;150.9000000;149.8000000;150.3900000
GAZP;60;20180125;180000;150.3800000;150.4500000;149.2700000;149.6300000
GAZP;60;20180125;190000;149.6100000;149.9100000;149.2700000;149.8000000
GAZP;60;20180126;110000;149.4000000;149.5500000;148.0500000;148.7000000
GAZP;60;20180126;120000;148.6800000;149.0000000;148.4500000;148.6800000
GAZP;60;20180126;130000;148.6500000;148.7500000;147.7600000;147.8300000
GAZP;60;20180126;140000;147.8100000;147.9500000;147.5100000;147.8200000
GAZP;60;20180126;150000;147.8800000;148.0200000;146.1500000;146.5000000
GAZP;60;20180126;160000;146.5000000;147.5000000;146.3000000;147.0000000
GAZP;60;20180126;170000;147.0400000;147.2400000;146.2000000;146.2700000
GAZP;60;20180126;180000;146.2700000;146.8500000;146.0100000;146.2900000
GAZP;60;20180126;190000;146.2900000;147.1900000;146.0600000;147.1900000
GAZP;60;20180129;110000;146.7700000;147.2400000;145.7000000;146.1700000
GAZP;60;20180129;120000;146.2100000;146.8800000;146.0100000;146.7300000
